accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp,training_time_seconds,inference_time_seconds,train_accuracy,train_f1,train_roc_auc,sv_dr0,sv_dr1,support_vectors,support_vector_percent,C
0.5324675324675324,0.5324675324675324,1.0,0.0,0.6949152542372882,0.7476663655525446,0,108,0,123,0.009394666994921863,0.011114166998595465,0.5304347826086957,0.6931818181818182,0.6784826578627807,432,435,867,94.23913043478261,0.01
0.6623376623376623,0.6923076923076923,0.6585365853658537,0.6666666666666666,0.675,0.7674646190906352,72,36,42,81,0.008887042000424117,0.010765040999103803,0.6467391304347826,0.6713852376137512,0.7047045765027322,411,418,829,90.1086956521739,0.1
0.7229437229437229,0.7920792079207921,0.6504065040650406,0.8055555555555556,0.7142857142857143,0.8189551339957845,87,21,43,80,0.00838083300186554,0.009422167000593618,0.7489130434782608,0.7418994413407821,0.8149618624772313,351,370,721,78.3695652173913,1.0
0.7835497835497836,0.8411214953271028,0.7317073170731707,0.8425925925925926,0.782608695652174,0.8253538090936464,91,17,33,90,0.009713500003272202,0.008251916005974635,0.8065217391304348,0.8035320088300221,0.8911562689738919,304,316,620,67.3913043478261,10.0
0.7532467532467533,0.7796610169491526,0.7479674796747967,0.7592592592592593,0.7634854771784232,0.8215898825654923,82,26,31,92,0.02050354100356344,0.0076676669996231794,0.8826086956521739,0.8858350951374208,0.9493017607771705,270,263,533,57.93478260869565,100.0
