accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp,training_time_seconds,inference_time_seconds,experiment,n_features,features
0.6320346320346321,0.8958333333333334,0.34959349593495936,0.9537037037037037,0.5029239766081871,0.7332128876844324,103,5,80,43,0.0008069169998634607,0.0005587919949903153,ALL_FEATURES,18,quality|pre_screening|ma1|ma2|ma3|ma4|ma5|ma6|exudate1|exudate2|exudate3|exudate5|exudate6|exudate7|exudate8|macula_opticdisc_distance|opticdisc_diameter|am_fm_classification
0.5324675324675324,0.5324675324675324,1.0,0.0,0.6949152542372882,0.6686615477265884,0,108,0,123,0.0005009579981560819,0.0004382920014904812,LOW_DEPENDENCE,6,quality|pre_screening|macula_opticdisc_distance|opticdisc_diameter|exudate8|am_fm_classification
0.5844155844155844,0.9090909090909091,0.24390243902439024,0.9722222222222222,0.38461538461538464,0.6808943089430894,105,3,93,30,0.00046624999959021807,0.0004062079970026389,MEDIUM_DEPENDENCE,6,exudate7|exudate6|exudate5|exudate2|exudate3|exudate1
0.5974025974025974,0.6630434782608695,0.4959349593495935,0.7129629629629629,0.5674418604651162,0.6582354712436015,77,31,62,61,0.0004641659979824908,0.0004024170048069209,HIGH_DEPENDENCE,6,ma6|ma5|ma1|ma4|ma2|ma3
