kernel,pair_type,similarity
Linear,Different class,7.333886008103569
Linear,Different class,-20.553256194315026
Linear,Same class,-0.17792003210428775
Linear,Different class,-16.852495378073062
Linear,Same class,7.9666745050479415
Linear,Same class,1.7900128615801851
Linear,Same class,-5.926115034560705
Linear,Different class,-6.075213279538314
Linear,Same class,-1.5955838993959275
Linear,Same class,-6.539862609687412
Linear,Different class,2.1213473913708545
Linear,Same class,6.682903089632234
Linear,Different class,2.833079963286242
Linear,Same class,-2.373067706915401
Linear,Different class,2.5891486223195708
Linear,Different class,8.509412939491872
Linear,Same class,-6.2703098564696305
Linear,Different class,-1.4835321689290495
Linear,Same class,5.163722847112661
Linear,Same class,-1.42895289503913
Linear,Different class,-2.829339745559686
Linear,Different class,-1.5831851271834396
Linear,Different class,2.0077786467701633
Linear,Different class,2.7110494493261217
Linear,Same class,6.0005499050311455
Linear,Same class,-13.914234111904964
Linear,Same class,1.37481996544802
Linear,Different class,2.590920692536713
Linear,Same class,-0.708117512843278
Linear,Same class,-1.7356770724768442
Linear,Same class,2.113974547389826
Linear,Same class,-10.213839347415533
Linear,Different class,11.125072592919484
Linear,Same class,-9.917862209493038
Linear,Same class,1.1777729485077493
Linear,Different class,2.096932041823873
Linear,Same class,3.2338624686736916
Linear,Same class,-4.544164795360301
Linear,Different class,0.5499283690468848
Linear,Same class,0.9470298648039492
Linear,Different class,1.6114473637448319
Linear,Different class,8.075793840484051
Linear,Same class,-4.980314194147574
Linear,Same class,2.589688759175494
Linear,Different class,-1.5140150338656606
Linear,Same class,4.549912554097325
Linear,Same class,4.096267332358518
Linear,Same class,-4.526639657002455
Linear,Different class,-2.288559615008591
Linear,Same class,-5.624922571228938
Linear,Same class,-11.526004361011942
Linear,Same class,5.940830933135047
Linear,Different class,5.392990724130026
Linear,Different class,-5.967818955716572
Linear,Different class,2.873203005233289
Linear,Different class,-1.4222900358935104
Linear,Same class,-0.4774288409781299
Linear,Same class,4.956842911742424
Linear,Same class,-7.61484378235067
Linear,Different class,-3.091553866450316
Linear,Same class,-0.3845422854657151
Linear,Different class,0.544969711998617
Linear,Different class,-8.625399516588658
Linear,Same class,-6.942706118066836
Linear,Same class,-12.111691950192476
Linear,Same class,3.462360480945318
Linear,Same class,-7.445586899864243
Linear,Different class,-4.004693638462053
Linear,Different class,-0.3427601544981107
Linear,Different class,6.986228960343587
Linear,Different class,-3.282878473691568
Linear,Different class,0.6555118895730183
Linear,Different class,-1.7489304048510763
Linear,Same class,-4.909798179752052
Linear,Different class,-5.8634118005711295
Linear,Different class,-4.454285075889954
Linear,Different class,-8.181150510305526
Linear,Different class,1.5092133824203753
Linear,Different class,7.990078214752072
Linear,Different class,0.836622985793299
Linear,Different class,1.6986863788770672
Linear,Same class,-4.939422788119762
Linear,Same class,-0.47841273118610605
Linear,Same class,2.4040716977491132
Linear,Different class,3.8255137297555395
Linear,Different class,4.85046892583376
Linear,Different class,-15.78541412570587
Linear,Same class,-6.311541226844063
Linear,Same class,2.859546080098102
Linear,Different class,0.6988445396410357
Linear,Different class,1.3777008991475042
Linear,Same class,-4.943302444967702
Linear,Different class,-5.375814802704557
Linear,Different class,-1.4675090118884588
Linear,Different class,-0.6338138996966042
Linear,Different class,-11.726733557053898
Linear,Same class,-5.195337011010135
Linear,Different class,-2.0127915646330194
Linear,Different class,-13.704164663551907
Linear,Same class,0.05972296852876066
Linear,Different class,-6.589280860809271
Linear,Same class,0.5733164277499726
Linear,Same class,5.82049378437779
Linear,Same class,1.666894754159556
Linear,Same class,3.616959021784081
Linear,Different class,-7.730357992288125
Linear,Same class,16.912088234270872
Linear,Different class,31.032176630065695
